module,categorie,slug,icone_actuelle,produits,boutiques,active
,"Boutiques",boutiques-m2,,0,22,true
"Boutiques","SOINS DE CHEVEUX",soins-de-cheveux-c175,,4,0,true
"Boutiques","SOINS DU CORPS",soins-du-corps-c176,,17,0,true
"Boutiques","COMPLEMENTS ALIMENTAIRES",complements-alimentaires-c177,,4,0,true
"Boutiques","Demoi",demoi-c178,,1,0,false
"Boutiques","Produits locaux",produits-locaux-c183,,6,0,true
"Boutiques","Produits surgelé",produits-surgele-c193,,4,0,true
"Boutiques","Snacks",snacks-c195,,3,0,true
"Boutiques","Thé et Infusion",the-et-infusion-c196,,3,0,true
"Boutiques","Parfum",parfum-c197,,8,0,true
"Boutiques","Bijoux",bijoux-c198,,4,0,true
"Boutiques","KFC",kfc-c3,,0,0,false
"Boutiques","Hood",hood-c4,,1,0,false
"Boutiques","CHEMISE",chemise-c61,,19,0,true
"Boutiques","CHAUSSURES",chaussures-c62,,4,0,true
"Boutiques","PAGNE/TISSU",pagne-tissu-c63,,0,0,true
"Boutiques","MONTRE",montre-c64,,0,0,true
"Boutiques","TELEPHONE & TABLETTE",telephone-tablette-c65,,0,0,true
"Boutiques","ELECTRONIQUES",electroniques-c66,,33,0,true
"Boutiques","ELECTROMENAGER",electromenager-c67,,23,0,true
"Boutiques","PRODUITS POUR BEBE",produits-pour-bebe-c68,,0,0,true
"Boutiques","Beauté et hygiène",beaute-et-hygiene-c69,,65,0,true
"Boutiques","INFORMATIQUES",informatiques-c70,,22,0,true
"Boutiques","JEUX VIDEO ET CONSOLES",jeux-video-et-consoles-c71,,32,0,true
"Boutiques","ARTICLES DE SPORT",articles-de-sport-c72,,0,0,true
"Boutiques","ACCESSOIRES DE TELEPHONE",accessoires-de-telephone-c105,,1,0,false
"Boutiques","ACCESSOIRES AUTOMOBILE",accessoires-automobile-c106,,3,0,true
"Boutiques","ACCESSOIRES DE TELEPHONE",accessoires-de-telephone-c114,,14,0,true
"Boutiques","PULL-OVER",pull-over-c164,,4,0,true
"Boutiques","T-SHIRT",t-shirt-c165,,27,0,true
"Boutiques","BOISSONS GAZEUSE",boissons-gazeuse-c170,,7,0,true
"Boutiques","BOISSONS NON GAZEUSE",boissons-non-gazeuse-c171,,14,0,true
"Boutiques","BOISSONS ENERGISANTES",boissons-energisantes-c172,,9,0,true
"Boutiques","PANINI",panini-c173,,0,0,false
,"Restaurants",restaurants-m3,,0,31,true
"Restaurants","LES GARNITURES",les-garnitures-c207,,0,0,true
"Restaurants","QUESADILLAS",quesadillas-c187,,4,0,true
"Restaurants","NEMS",nems-c189,,5,0,true
"Restaurants","PLATS PANES",plats-panes-c204,,4,0,true
"Restaurants","PLATS STEAK",plats-steak-c205,,2,0,true
"Restaurants","MENDY",mendy-c206,,3,0,true
"Restaurants","LOT PAR PIECES",lot-par-pieces-c8,,7,0,true
"Restaurants","BOX POULET PANE",box-poulet-pane-c9,,27,0,true
"Restaurants","SALADE COMPOSEE",salade-composee-c10,,25,0,true
