texte;intention;registre;correct (o/n)
"Tacos L (2 Viandes)";recherche;standard;
"Je voudrais commander une crèpe aux legumes.";recherche;standard;
"Une bouteille d'eau minérale de 1,5 litre.";recherche;standard;
"Je cherche un paquet de sucre en morceaux.";recherche;standard;
"Une portion d'alloco s'il vous plaît.";recherche;standard;
"poulet mandi complet svp";recherche;fautes;
"slt je cherche du Riz au gras avec poulet bien chaud";recherche;fautes;
"bjr avez vous du BISCUIT PETIT BEURRE PEPITES DE CHOCOLAT BF 200G ??";recherche;fautes;
"mnc thon";recherche;fautes;
"euh je cherche du Coca-Cola bien frais là";recherche;vocal;
"euh attendez je cherche du Blanc de poulet Pack de 2 Kg pour préparer";recherche;vocal;
"euh attendez je cherche Lot par Pièces 6 pièces";recherche;vocal;
"Durum Mixte";recherche;niger;
"Bissap ou Jus local (bissap tamarin, citron,gingembre)";recherche;niger;
"Je veux savoir où trouver un livreur de Steak Pané pour midi.";recherche;piege;
"Est-ce que La cuisine Nigérienne prépare une salade de cudité ?";recherche;piege;
"Je veux commander un colis de Pizza mixte pour ce soir.";recherche;piege;
"Trouve-moi un livreur disponible pour m'apporter un DURUM.";recherche;piege;
"Trouve-moi des Falafele s'il te plaît merci bien.";recherche;piege;
"Je cherche Jarret de mouton bien chaud s'il vous plaît.";recherche;local;
"Brochettes de langue";recherche;local;
"Salam alaykoum, est-ce que vous avez du Philly Chicken aujourd'hui ?";recherche;local;
"Ba ni Tenders *6 avec sauce piment.";recherche;local;
"Je veux du bon Poulet Braisé pour ce midi.";recherche;local;
"Trouve-moi Gel douche anti-acné Half Cast Privilege 1200 ml s'il vous plaît.";recherche;local;
"Avocat bien mûr";recherche;local;
"Sannu, vous avez Pizza 3 Saisons ?";recherche;local;
"CHIPS BF NATURE 30G";recherche;local;
"Faut me chercher SM à la viande hachée, j'ai faim deh.";recherche;local;
"Ina son Wrap Poulet bien épicé.";recherche;local;
"Est-ce qu'il y a du Hunkar sipesial dispo maintenant ?";recherche;local;
"Riz au lait bien frais";recherche;local;
"Tu peux me trouver Thé a la menthe* ?";recherche;local;
"Tacos Viande Chawarma";recherche;local;
"Je cherche un bon plat de Jarret de mouton pour le dîner.";recherche;local;
"Y a moyen d'avoir Wrap Poulet tout de suite ?";recherche;local;
"Gel douche anti-acné Half Cast Privilege 1200 ml";recherche;local;
"Salam, est-ce qu'il reste du SM à la viande hachée chez vous ?";recherche;local;
"Faut me trouver CHIPS BF NATURE 30G pour les enfants.";recherche;local;
"Brochettes de langue bien assaisonnées s'il vous plaît.";recherche;local;
"Je veux commander Philly Chicken chaud avec frites.";recherche;local;
"Wai donne-moi un bon Poulet Braisé bien doré.";recherche;local;
"Est-ce que vous vendez du Thé a la menthe* ?";recherche;local;
"Recherche Tacos Viande Chawarma grand format.";recherche;local;
"Qu'est-ce qui se mange de bon dans les environs ?";envie;standard;
"donne des idees de repas";envie;sms;
"on mange quoi auj";envie;sms;
"faut que jachete a manger pr ce soir";envie;sms;
"bon en fait on a envie de grignoter un truc rapide avec mes potes propose moi un bon restaurant ouvert a niamey";envie;vocal;
"euh je voudrais me faire plaisir ce soir un bon petit plat sympa n importe quoi mais de qualite";envie;vocal;
"trouve moi un bon resto";envie;vocal;
"on veut manger en famille mais on hesite propose nous des restos avec des bons plats locaux ou africains";envie;vocal;
"euh je veux faire quelques achats pour la cuisine epices sauces tout ca montre moi les rayons d alimentation";envie;vocal;
"Trouve-moi un bon restaurant à côté.";envie;niger;
"J'ai envie de commander quelque chose à grignoter devant la télé.";envie;niger;
"Je veux remplir mon frigo, montre-moi les supermarchés du coin.";envie;niger;
"C'est comme d'habitude le soir à Niamey j'ai grave la dalle, qu'est-ce qu'il y a de bon ?";envie;piege;
"J'ai trop faim deh, propose-moi un bon restaurant à côté.";envie;local;
"Bissimillah, qu'est-ce qu'on peut manger de doux ce midi ?";envie;local;
"Wallahi j'ai faim, tu as des idées pour le déjeuner ?";envie;local;
"Trouve-moi un bon fast-food stp.";envie;local;
"Je veux grignoter un truc sucré.";envie;local;
"Abinci ! Franchement je ne sais même pas quoi manger aujourd'hui.";envie;local;
"Donne-moi une bonne adresse pour bien manger ce soir.";envie;local;
"J'ai besoin de faire quelques petites courses pour la maison.";envie;local;
"Hawwa ! J'ai faim deh, montre-moi les restos ouverts.";envie;local;
"Une idée de repas sympa pour la famille ?";envie;local;
"Je cherche un endroit chic pour commander à manger.";envie;local;
"Faut me trouver un truc bien consistant, le ventre gargouille.";envie;local;
"Qu'est-ce qui est bon et rapide là tout de suite ?";envie;local;
"Je veux commander à manger mais je manque d'inspiration.";envie;local;
"Montre-moi des bons plans resto.";envie;local;
"On mange quoi de bon à Niamey aujourd'hui ?";envie;local;
"Franchement j'ai envie de me poser et de bien manger, suggère-moi un truc.";envie;local;
"Je dois faire le plein de provisions, montre-moi les boutiques de courses.";envie;local;
"Un bon coin pour le dîner svp ?";envie;local;
"Il me faut des trucs pour la cuisine et le ménage, par où commencer ?";envie;local;
"Je cherche quelque chose de chaud et bien assaisonné pour ce midi.";envie;local;
"Trouve-moi un repas léger pour ce soir wallahi.";envie;local;
"Je veux commander un truc délicieux, surprends-moi.";envie;local;
"S'il te plaît, propose-moi un bon coin où commander.";envie;local;
"RESTAURANT AFC";boutique;standard;
"BOBA KOUBIA s'il vous plaît.";boutique;standard;
"Je voudrais accéder au catalogue de la boutique Infus'Nature, merci.";boutique;standard;
"la carte de galaxie stp";boutique;sms;
"cc jpeux voir les articles de boutique test 9e038b90";boutique;sms;
"irmaday ils ont quoi a vendre";boutique;sms;
"bon fais voir les produits de Rany Parfums s il te plaît";boutique;vocal;
"bon ouvre O'TAKOSS Nouveau Marché";boutique;vocal;
"Faut me faire sortir les produits de WORLD JUS mon frère.";boutique;niger;
"Envoie-moi le catalogue de Farinchiki Parfum s'il te plaît.";boutique;niger;
"Faut ouvrir le coin de ATTIEKE IVOIRE que je regarde wallahi.";boutique;niger;
"Affiche-moi seulement ce qu'il y a chez RESTAURANT GALAXIE.";boutique;niger;
"Garba d'Or c'est encore ouvert à cette heure ?";boutique;piege;
"Je veux consulter le catalogue de la boutique Oriental Scents.";boutique;piege;
"Supergadget";boutique;piege;
"Boutique test 087649e4 est disponible ?";boutique;piege;
"BAAKLINI Centre Aéré est ouvert sahbi ?";boutique;local;
"Montre-moi les produits chez TOVO SHOP s'il te plaît.";boutique;local;
"Boutique LE GONDWANA bana, fais voir leur menu.";boutique;local;
"Je veux voir le catalogue de Univers Des Boissons.";boutique;local;
"Est-ce que DABALI EXPRESS est ouvert en ce moment wallahi ?";boutique;local;
"Ouvre la page de Albek Food s'il vous plaît.";boutique;local;
"Fais voir la carte de Babbar Sallah du Rire.";boutique;local;
"Boutique test ebdef476 s'il te plaît.";boutique;local;
"Je veux regarder ce qu'il y a chez BAAKLINI Centre Aéré.";boutique;local;
"Salam, montre la boutique TOVO SHOP yarona.";boutique;local;
"Albek Food";boutique;local;
"Est-ce que LE GONDWANA travaille aujourd'hui ?";boutique;local;
"Univers Des Boissons sont ouverts ?";boutique;local;
"Affiche-moi le restau DABALI EXPRESS.";boutique;local;
"DABALI EXPRESS gaskiya, c'est ouvert maintenant ?";boutique;local;
"Montre-moi la boutique BAAKLINI Centre Aéré s'il te plaît.";boutique;local;
"Je veux consulter la carte de Albek Food.";boutique;local;
"Menu LE GONDWANA s'il vous plaît.";boutique;local;
"Boutique Babbar Sallah du Rire, fais voir ce qu'ils vendent.";boutique;local;
"Ouvre Univers Des Boissons s'il te plaît mon frère.";boutique;local;
"TOVO SHOP c'est ouvert actuellement wa ?";boutique;local;
"Fais-moi voir la boutique test ebdef476.";boutique;local;
"Affiche la page du restaurant DABALI EXPRESS.";boutique;local;
"Boutique BAAKLINI Centre Aéré.";boutique;local;
"Je veux regarder le catalogue de TOVO SHOP aujourd'hui.";boutique;local;
"Bonjour, j'aurais besoin d'un coursier s'il vous plaît.";livreur;standard;
"Envoyez-moi un coursier s'il vous plaît.";livreur;standard;
"Serait-il possible de faire passer un livreur à mon adresse ?";livreur;standard;
"Pourriez-vous m'envoyer un coursier rapidement ?";livreur;standard;
"Bonjour, j'ai une course à faire faire, j'attends un coursier chez moi.";livreur;standard;
"slt un coursier dispo pr passer tt de suite";livreur;sms;
"eskil ya un livrur libre pr venir a dar es salam";livreur;fautes;
"jveut un motard chez moi";livreur;fautes;
"slvp envoyer un livereur a koubia";livreur;fautes;
"besoin dun coursier a coté de la phrmacie";livreur;fautes;
"eske ya un coursier pr vnir me trouvé";livreur;fautes;
"coursier dispo ?";livreur;fautes;
"bjour envoyemoi un motard a la maison svp";livreur;fautes;
"un liveur svp";livreur;fautes;
"genre un livreur vers moi";livreur;vocal;
"euh attendez il me faut quelqu un pour venir me voir à domicile";livreur;vocal;
"genre envoyez quelqu un vers moi rapidement";livreur;vocal;
"coursier chez moi";livreur;vocal;
"euh s il vous plaît faites passer un gars de tovo à mon niveau";livreur;vocal;
"Je veux quelqu'un avec une moto ici rapidement";livreur;piege;
"Est-ce qu'un livreur peut passer me voir maintenant ?";livreur;piege;
"Je demande un coursier express à mon bureau";livreur;piege;
"Envoyez-moi un coursier ici à Koira Kano s'il vous plaît.";livreur;local;
"J'ai besoin d'un livreur tout de suite vers Yantala.";livreur;local;
"Bip-moi un livreur moto ici vite fait.";livreur;local;
"Salam alaikum, envoyez un coursier chez moi s'il vous plaît.";livreur;local;
"Il me faut un livreur maintenant.";livreur;local;
"Trouvez-moi un motard disponible vers Dar-es-Salam.";livreur;local;
"Envoyez quelqu'un vers moi, je suis à côté de la pharmacie.";livreur;local;
"J'ai besoin d'un livreur Tovo maintenant là, maza maza.";livreur;local;
"Y a un coursier libre pour venir chez moi ?";livreur;local;
"Envoyez un livreur.";livreur;local;
"Je cherche un coursier disponible tout de suite dans mon quartier.";livreur;local;
"Faites venir un livreur moto ici s'il vous plaît.";livreur;local;
"Trouve-moi un livreur.";livreur;local;
"Sannu, j'ai besoin d'un motard Tovo ici tout de suite.";livreur;local;
"Dites à un coursier de passer me voir à la maison.";livreur;local;
"Est-ce qu'un livreur peut venir me trouver à Plateau ?";livreur;local;
"Besoin d'un livreur urgent.";livreur;local;
"Envoyez-moi un motard immédiatement.";livreur;local;
"Faites passer un coursier chez moi s'il vous plaît.";livreur;local;
"Je veux un livreur Tovo ici.";livreur;local;
"Envoyez un coursier s'il vous plaît, je suis au carrefour.";livreur;local;
"Il y a un livreur dispo pour venir vers moi ?";livreur;local;
"Dépêchez un motard chez moi maza.";livreur;local;
"J'attends un livreur ici à la maison, envoyez quelqu'un.";livreur;local;
"Coursier disponible ?";livreur;local;
"Bonjour, est-il possible de faire livrer une pochette de documents administratifs à Koubia aujourd'hui ?";colis;standard;
"Expédition d'un colis.";colis;standard;
"Est-ce possible de confier un petit colis fragile à destination du quartier Recasement ?";colis;standard;
"Bonjour, est-il possible d'assurer la livraison d'un carton scellé à quelqu'un dans le secteur de Harobanda ?";colis;standard;
"slt jveu faire expedier un paquet a wadata";colis;sms;
"envoie coli";colis;fautes;
"envoiyer un paqeut";colis;fautes;
"expedition colis";colis;fautes;
"euh oui envoyer un colis de toute urgence à Bobiel s il vous plaît";colis;vocal;
"euh genre j ai un paquet de mèches à faire livrer chez une cliente à Talladjé";colis;vocal;
"Envoyer colis";colis;niger;
"Faut déposer ce dossier chez mon patron au Plateau vite fait s'il te plaît.";colis;niger;
"Transport d'un pli fermé";colis;niger;
"Wallahi je dois faire parvenir ce carton scellé à quelqu'un vers Harobanda aujourd'hui même.";colis;niger;
"Faut déposer des affaires pour moi chez ma soeur à Kirkissoye.";colis;niger;
"Je ne veux pas commander chez O'TAKOSS ( Nouveau Marché ), j'y ai oublié mes clés et il faut me les envoyer.";colis;piege;
"Faites-moi partir cette valise de vêtements à la gare s'il vous plaît.";colis;piege;
"Ne m'affichez pas la carte de MAISON GRILL, je veux déposer un paquet là-bas pour le gérant.";colis;piege;
"Envoyer un paquet à Koira Kano s'il vous plaît";colis;local;
"Livraison colis";colis;local;
"J'ai un sachet de documents importants à faire déposer chez mon cousin vers Nouveau Marché.";colis;local;
"Barka, je veux expédier un petit carton à quelqu'un à Yantala.";colis;local;
"Je dois faire parvenir des clés et des papiers à ma sœur à Boukoki, maza maza.";colis;local;
"Faites-moi déposer ce pli urgent vers Dar Salam s'il vous plaît.";colis;local;
"Envoi de colis pour plateau";colis;local;
"Sannu, j'ai une enveloppe cachetée à transmettre rapidement vers Goudel.";colis;local;
"Expédier un paquet";colis;local;
"Je veux envoyer un gros sac d'habits pour mon frère à Talladjé.";colis;local;
"Y a moyen d'acheminer un colis fragile chez un ami à Recasement ?";colis;local;
"Livrer un colis";colis;local;
"Aide-moi à faire porter une valise moyenne jusqu'à Banifandou.";colis;local;
"Expédition de documents officiels vers le quartier Terminus.";colis;local;
"Je cherche à faire transporter un paquet d'effets personnels à Saga.";colis;local;
"Je dois faire envoyer un carton de matériels à la Cité Député, wallah c'est pressé.";colis;local;
"Transport colis";colis;local;
"Faire partir un paquet fermé pour le quartier Aéroport.";colis;local;
"Déposer un sac de provisions chez ma tante à Lazaret.";colis;local;
"Je veux faire livrer une pochette de papiers à un client vers Kirkissoye.";colis;local;
"Colis express pour Bassora";colis;local;
"Est-ce possible d'expédier un petit paquet scellé à quelqu'un au Grand Marché ?";colis;local;
"Envoyer un colis à Wadata";colis;local;
"J'ai deux colis bien emballés à transmettre d'urgence à un collègue vers Francophonie.";colis;local;
"Le deuxième s'il vous plaît.";designe;standard;
"Celui tout en haut me semble très correct.";designe;standard;
"Mettez celui-là dans ma commande.";designe;standard;
"ajoute le premier direct";designe;sms;
"le premier";designe;sms;
"prends le plus cher";designe;sms;
"le 2";designe;sms;
"cest le derneir que je veu";designe;fautes;
"je prend le deuxieme svp";designe;fautes;
"ajoute le dernier svp";designe;fautes;
"euh attends voir oui le Chawarma Viande c'est bien celui-là que je veux";designe;vocal;
"Ce n'est pas comme d'habitude mais sélectionne le quatrième";designe;piege;
"Mets-moi celle de gauche";designe;piege;
"Mets le deuxième dans le panier s'il te plaît.";designe;local;
"Walahi prends le Tacos L (2 Viandes) parmi les options.";designe;local;
"C'est le premier là-bas que je veux, ajoute-le.";designe;local;
"Prends celui qui coûte moins cher.";designe;local;
"Ajoute le Chawarma foie s'il te plaît.";designe;local;
"Le Casque Oraimo I12 Bluetooth qui est au milieu là, c'est bon.";designe;local;
"Celui de 1500 francs là, sélectionne ça.";designe;local;
"Wai prends le tout dernier sur la liste.";designe;local;
"Mets le Biscuits à l'avoine et aux raisins secs McOaty de GPR 141 g dedans.";designe;local;
"C'est le troisième, valide celui-là direct.";designe;local;
"Ajoute-moi le CHIKENBURGER que tu viens d'afficher.";designe;local;
"Le moins cher de la liste là, c'est bon pour moi.";designe;local;
"Prends l'option en haut là, ba matsala.";designe;local;
"Je choisis les Apple EarPods (connecteur Lightning) que tu montres.";designe;local;
"Celui d'en bas là, mets-le.";designe;local;
"Prends le XR Energy Mojito s'il te plaît.";designe;local;
"Le rouge là-bas, c'est lui que je prends.";designe;local;
"Mets le THE GLACE CASSIS dans ma commande.";designe;local;
"C'est le numéro deux que je veux, sélectionne-le.";designe;local;
"Ajoute la Pastèque qui est affichée.";designe;local;
"Toh prends le premier de la liste.";designe;local;
"Prends le plat de Foie de mouton sauté là.";designe;local;
"Valide le quatrième s'il te plaît.";designe;local;
"Celui qui est juste après le premier, c'est ça.";designe;local;
"Mets les Légumes sautés dans mon panier.";designe;local;
"Faites-moi la même livraison que mardi dernier.";habitude;standard;
"Comme d'habitude chez LINA CHIPS.";habitude;standard;
"la meme chose k dhab";habitude;sms;
"bjr comme dabitude stp";habitude;sms;
"com dab";habitude;fautes;
"envoi moi encore le meme truc que dhabitude";habitude;fautes;
"mm chose qhier svp";habitude;fautes;
"comme d hab chez 227 TWO TWO SEVEN ( plateau )";habitude;fautes;
"genre reprends mon historique et relance la dernière commande";habitude;vocal;
"Envoie-moi le même panier que d'habitude là mon cher.";habitude;niger;
"Tu peux chercher dans mon historique et valider mon Poulet Frit de dimanche ?";habitude;piege;
"Comme d'habitude stp, barka.";habitude;local;
"Envoie-moi la même chose que hier midi.";habitude;local;
"Fais-moi encore ma commande habituelle mon frère.";habitude;local;
"Reprends exactement ce que j'avais pris chez MAISON GRILL la dernière fois.";habitude;local;
"Je veux commander la même chose qu'hier, ba wuya.";habitude;local;
"Remets-moi mon plat de d'habitude stp.";habitude;local;
"Renvoie exactement ma dernière commande de Mendy Viande D'agneau avec riz.";habitude;local;
"Comme toujours ba damuwa.";habitude;local;
"Reprends la même commande que la semaine passée s'il te plaît.";habitude;local;
"Fais-moi le même panier que d'habitude mon cher.";habitude;local;
"Je reprends ma commande habituelle de Boba vanille.";habitude;local;
"Renvoie-moi la même chose que la dernière fois, kowatsé.";habitude;local;
"Comme d'hab boss.";habitude;local;
"Tu peux me relancer la commande d'hier soir ?";habitude;local;
"Encore la même chose chez Festival Des Grillades - Niamey s'il te plaît.";habitude;local;
"Refais exactement le même panier chez iRmaday sanu.";habitude;local;
"Commande-moi la même chose qu'avant-hier.";habitude;local;
"Mon habituel stp, je change rien aujourd'hui.";habitude;local;
"Comme d'habitude pour le midi.";habitude;local;
"Reprends ma dernière commande de Pain viande yau.";habitude;local;
"Remets le même Box Poulet Pané (6 Pièces) que samedi passé.";habitude;local;
"Comme la dernière fois stp, wallahi j'ai trop aimé.";habitude;local;
"Refais-moi passer exactement la même commande d'hier.";habitude;local;
"Je veux reprendre la même chose que tout à l'heure.";habitude;local;
"Même chose que d'habitude mon ami.";habitude;local;
"Le coursier a-t-il quitté la boutique BABO ELECTRONIQUE avec ma Chemise Mixte ?";suivi;standard;
"Bonjour, j'attends mon Mix grill L (2personne), pouvez-vous m'indiquer où il se trouve ?";suivi;standard;
"Est-ce que mes Nuggets * 6 sont déjà en cours d'acheminement ?";suivi;standard;
"Je vous contacte simplement pour connaître l'état d'avancement de ma livraison actuelle.";suivi;standard;
"slt ou en est ma commande";suivi;sms;
"ma commande est prete";suivi;sms;
"stp le livreur arrive ds cb de temps";suivi;sms;
"slm mon Boba Mangue c pr bientot ?";suivi;fautes;
"slt je veu savoir ou se trouv le livreur actuelemnt";suivi;fautes;
"esk le chiken burger a quiter le resto";suivi;fautes;
